id,course,chapter,section,problem_type,question,options,answer,analysis_steps,knowledge_points,formula,difficulty,source_file,source_page,remark
Q-001,高等数学,第9章,二次曲面,计算题,判断曲面 z = x^2 - y^2 属于哪类二次曲面，并说明理由。,,双曲抛物面（鞍面）,观察x^2与y^2符号相反|固定y=0得z=x^2抛物线|固定x=0得z=-y^2抛物线|综合判断为双曲抛物面,二次曲面|双曲抛物面|鞍面,z=x^2-y^2,中等,knowledge_base.json,,
Q-002,高等数学,第1章,初等函数,计算题,绘制函数 y = exp(-x^2) 的图像，分析其主要特征。,,钟形曲线，对称轴x=0，最大值y=1,确定定义域为全实数|分析奇偶性（偶函数）|求极值：x=0时y=1|描述单调区间和渐近线,指数函数|高斯函数|图像分析,y=exp(-x^2),中等,knowledge_base.json,,
Q-003,高等数学,第2章,极限,计算题,计算极限 lim(x→0) sin(x)/x。,,1,直接代入x=0得0/0不定式|用等价无穷小sin(x)~x(x→0)|因此lim=x/x=1,极限|等价无穷小|sinx/x,lim_{x->0} sin(x)/x,简单,knowledge_base.json,,
Q-004,船舶保安,第1章,1.3 ISPS规则,简答题,ISPS规则的主要目标是什么？,,加强国际航行船舶和港口设施的保安管理，防范保安威胁,ISPS规则是SOLAS公约的补充|主要针对国际航行船舶|核心是预防保安威胁|要求建立保安等级体系,ISPS规则|船舶保安|保安等级,,简单,knowledge_base.json,,
Q-005,船舶保安,第1章,1.2 SOLAS公约,简答题,SOLAS公约第XI-2章的主要内容和作用是什么？,,规定船舶和港口设施保安的国际要求，是船舶保安制度的重要法律基础,SOLAS公约是国际海上人命安全公约|第XI-2章专门针对保安|与ISPS规则配套使用|规定缔约国政府和船公司的保安义务,SOLAS|XI-2|国际公约|船舶保安,,简单,knowledge_base.json,,
OCEAN-Q-0001,远洋运输业务,第1章,1.1 国际贸易术语,选择题,国际贸易术语的主要作用是（  ）,A.增加交易成本|B.明确责任费用风险划分|C.减少运输方式|D.限制贸易发展,B,分析术语定义|强调责任费用风险划分|排除无关选项,国际贸易术语|作用,,简单,远洋运输业务 第2版.docx,2,
OCEAN-Q-0002,远洋运输业务,第1章,1.1 国际贸易术语,判断题,国际贸易惯例本身具有强制法律效力,,错误,说明惯例非法律|只有合同约定才具约束力,国际贸易惯例|法律性质,,简单,远洋运输业务 第2版.docx,2,
OCEAN-Q-0003,远洋运输业务,第1章,1.1 国际贸易术语,选择题,《Incoterms》最早产生于哪一年,A.1928|B.1936|C.1953|D.1990,B,识记发布时间|排除干扰项,Incoterms历史,,简单,远洋运输业务 第2版.docx,3,
OCEAN-Q-0004,远洋运输业务,第1章,1.1 国际贸易术语,选择题,EXW术语属于哪一组,A.E组|B.F组|C.C组|D.D组,A,识别术语分类|EXW属于启运组,贸易术语分类,,简单,远洋运输业务 第2版_改良.docx,4,
OCEAN-Q-0005,远洋运输业务,第1章,1.1 国际贸易术语,简答题,简述国际贸易术语的定义,,用于表示价格构成并划分风险责任费用的专门术语,提炼定义关键词|说明作用,国际贸易术语定义,,简单,远洋运输业务 第2版.docx,2,
OCEAN-Q-0006,远洋运输业务,第1章,1.2 FAS术语,选择题,FAS术语的风险转移点是,A.装上船|B.船边|C.目的港|D.仓库,B,识别交货点|FAS为船边交货,贸易术语FAS,,简单,远洋运输业务 第2版.docx,7,
OCEAN-Q-0007,远洋运输业务,第1章,1.2 FAS术语,判断题,FAS条件下卖方负责订立运输合同,,错误,运输由买方负责|卖方不订立合同,FAS义务,,简单,远洋运输业务 第2版.docx,7,
OCEAN-Q-0008,远洋运输业务,第1章,1.2 FOB术语,选择题,FOB术语下风险转移的界限是,A.船舷|B.装上船|C.目的港|D.交单,B,新版规则以装上船为界|区别旧规则,FOB风险转移,,中等,远洋运输业务 第2版.docx,8,
OCEAN-Q-0009,远洋运输业务,第1章,1.2 FOB术语,简答题,FOB条件下卖方的主要义务有哪些,,办理出口手续并装船交货,列出出口报关|装船|通知买方,FOB义务,,中等,远洋运输业务 第2版.docx,8,
OCEAN-Q-0010,远洋运输业务,第1章,1.2 FOB术语,选择题,FOB价格通常称为,A.到岸价|B.离岸价|C.成本价|D.保险价,B,识记术语含义|FOB为离岸价,FOB概念,,简单,远洋运输业务 第2版.docx,8,
OCEAN-Q-0011,远洋运输业务,第1章,1.2 CIF术语,选择题,CIF术语中卖方必须承担的费用是,A.运费和保险费|B.仅运费|C.仅保险费|D.不承担,A,识别CIF组成|成本+保险+运费,CIF费用构成,,简单,远洋运输业务 第2版.docx,9,
OCEAN-Q-0012,远洋运输业务,第1章,1.2 CIF术语,判断题,CIF条件下卖方承担运输途中的风险,,错误,风险装船后转移给买方,CIF风险,,简单,远洋运输业务 第2版.docx,9,
OCEAN-Q-0013,远洋运输业务,第1章,1.2 CIF术语,简答题,什么是象征性交货,,凭单据交货而非实际交货,解释单据作用|说明交单即交货,象征性交货,,中等,远洋运输业务 第2版.docx,10,
OCEAN-Q-0014,远洋运输业务,第1章,1.2 CFR术语,选择题,CFR与CIF的主要区别在于,A.风险不同|B.保险责任不同|C.交货地点不同|D.运输方式不同,B,对比两者|仅保险不同,CFR与CIF区别,,简单,远洋运输业务 第2版.docx,11,
OCEAN-Q-0015,远洋运输业务,第1章,1.2 CFR术语,判断题,CFR条件下卖方无需通知买方装船,,错误,必须通知以便投保,CFR义务,,中等,远洋运输业务 第2版.docx,11,
OCEAN-Q-0016,远洋运输业务,第1章,1.3 信用证,选择题,信用证的第一付款人是,A.买方|B.卖方|C.开证行|D.承运人,C,识别主体责任|银行承担付款责任,信用证当事人,,简单,远洋运输业务 第2版.docx,12,
