id,course,chapter,section,topic,knowledge_point,definition,formula,example,keywords,source_file,source_page,remark
KP-0001,高等数学,第8章,8.1 向量及其线性运算,空间直角坐标系,空间直角坐标系,右手系O-xyz坐标系,无,"点P(1,2,3)",空间直角坐标系、右手系,高数下册,1,空间点位置描述
KP-0002,高等数学,第8章,8.1 向量及其线性运算,向量的概念,向量,既有大小又有方向的量,无,位移、速度,向量、模、单位向量,高数下册,2,区分标量与向量
KP-0003,高等数学,第8章,8.1 向量及其线性运算,向量的线性运算,向量加法,三角形/平行四边形法则,a+b=b+a,OA+AB=OB,向量加法、三角形法则,高数下册,3,向量基本运算
KP-0004,高等数学,第8章,8.1 向量及其线性运算,向量的线性运算,向量数乘,实数与向量相乘,λ(μa)=(λμ)a,"a=(1,2,3),2a=(2,4,6)",数乘、方向、模,高数下册,4,向量伸缩与变向
KP-0005,高等数学,第8章,8.1 向量及其线性运算,向量的坐标表示,向量坐标表达式,起点在原点的坐标表示,a=xi+yj+zk,"OP=(1,2,3)",向量坐标、单位向量,高数下册,5,代数化桥梁
KP-0006,高等数学,第8章,8.2 数量积 向量积 混合积,两向量数量积,数量积（点积）,a·b=|a||b|cosθ,a·b=x₁x₂+y₁y₂+z₁z₂,i·j=0,点积、垂直判定,高数下册,10,求夹角、垂直
KP-0007,高等数学,第8章,8.2 数量积 向量积 混合积,两向量向量积,向量积（叉积）,结果为向量，右手定则,|a×b|=|a||b|sinθ,i×j=k,叉积、面积、平行,高数下册,12,求面积、判平行
KP-0008,高等数学,第8章,8.2 数量积 向量积 混合积,三向量混合积,混合积,(a×b)·c,三阶行列式,ijk构成体积为1,混合积、共面、体积,高数下册,15,判三向量共面
KP-0009,高等数学,第8章,8.3 曲面及其方程,曲面方程,曲面方程,"F(x,y,z)=0",无,x²+y²+z²=R²,曲面、一般式、显式,高数下册,18,曲面代数表示
KP-0010,高等数学,第8章,8.3 曲面及其方程,球面,球面方程,球心半径确定的曲面,(x-x₀)²+(y-y₀)²+(z-z₀)²=R²,x²+y²+z²=4,球面、球心、半径,高数下册,19,基础有界曲面
KP-0011,高等数学,第8章,8.3 曲面及其方程,旋转曲面,旋转曲面,曲线绕轴旋转生成,"f(±√x²+y²,z)=0",z=ky绕z成圆锥面,旋转曲面、母线、轴,高数下册,20,曲线成曲面
KP-0012,高等数学,第8章,8.3 曲面及其方程,柱面,柱面,平行定直线移动的直线,"F(x,y)=0",x²+y²=R²,柱面、准线、母线,高数下册,22,缺坐标即为柱面
KP-0013,高等数学,第8章,8.3 曲面及其方程,二次曲面,椭球面,三元二次对称曲面,x²/a²+y²/b²+z²/c²=1,x²/4+y²/9+z²/16=1,椭球面、半轴、二次曲面,高数下册,24,有心二次曲面
KP-0014,高等数学,第8章,8.3 曲面及其方程,二次曲面,椭圆抛物面,单方向开口抛物面,x²/(2p)+y²/(2q)=z,z=x²+y²,椭圆抛物面、开口,高数下册,25,无心二次曲面
KP-0015,高等数学,第8章,8.3 曲面及其方程,二次曲面,双曲抛物面,马鞍面，双向开口,x²/(2p)−y²/(2q)=z,z=x²−y²,鞍面、双曲抛物面,高数下册,25,双向弯曲曲面
KP-0016,高等数学,第8章,8.3 曲面及其方程,二次曲面,单叶双曲面,单连通双曲面,x²/a²+y²/b²−z²/c²=1,x²/4+y²/9−z²/16=1,单叶双曲面、无界,高数下册,26,典型双曲面
KP-0017,高等数学,第8章,8.3 曲面及其方程,二次曲面,双叶双曲面,两叶分离双曲面,x²/a²−y²/b²−z²/c²=1,x²/4−y²/9−z²/16=1,双叶双曲面、对称,高数下册,26,双叶分离曲面
KP-0018,高等数学,第8章,8.4 空间曲线及其方程,空间曲线一般方程,空间曲线一般方程,两曲面交线,"F=0,G=0联立","x²+y²=1,z=2",曲线、交线、曲面,高数下册,30,曲线基础表示
KP-0019,高等数学,第8章,8.4 空间曲线及其方程,空间曲线参数方程,空间曲线参数方程,坐标为参数函数,"x=x(t),y=y(t),z=z(t)",螺旋线参数式,参数方程、螺旋线,高数下册,31,便于轨迹分析
KP-0020,高等数学,第8章,8.4 空间曲线及其方程,空间曲线投影,投影曲线,曲线在坐标面投影,"H(x,y)=0,z=0","x²+y²=3,z=0",投影、柱面、消元,高数下册,32,空间曲线平面化
KP-0021,高等数学,第8章,8.5 平面及其方程,平面点法式,点法式方程,定点+法向量,A(x−x₀)+B(y−y₀)+C(z−z₀)=0,"过(1,2,3)法向量(2,1,-1)",平面、法向量、点法式,高数下册,35,已知法向量用
KP-0022,高等数学,第8章,8.5 平面及其方程,平面一般方程,一般方程,点法式展开,Ax+By+Cz+D=0,2y+3z=0,平面一般式、法向量,高数下册,36,平面通用形式
KP-0023,高等数学,第8章,8.5 平面及其方程,平面截距式,截距式方程,与坐标轴有截距,x/a+y/b+z/c=1,x/2+y/3+z/4=1,截距、交点、平面,高数下册,37,快速看位置
KP-0024,高等数学,第8章,8.5 平面及其方程,两平面夹角,两平面夹角,法向量夹角余弦,cosθ=|n₁·n₂|/(|n₁||n₂|),两平面夹角计算,夹角、法向量、垂直,高数下册,38,判平面位置
KP-0025,高等数学,第8章,8.6 空间直线及其方程,直线一般方程,直线一般方程,两平面交线,两平面方程联立,"x+y+z=1,x−y−z=0",直线、交线、平面,高数下册,42,直线基础表示
KP-0026,高等数学,第8章,8.6 空间直线及其方程,直线对称式,对称式（点向式）,定点+方向向量,(x−x₀)/m=(y−y₀)/n=(z−z₀)/p,"过(1,2,3)方向(2,1,-3)",直线、方向向量,高数下册,43,已知方向用
KP-0027,高等数学,第8章,8.6 空间直线及其方程,直线参数方程,参数方程,对称式令为t,"x=x₀+mt,y=y₀+nt,z=z₀+pt",直线参数式,参数方程、直线,高数下册,44,便于点坐标
KP-0028,高等数学,第8章,8.6 空间直线及其方程,两直线夹角,两直线夹角,方向向量夹角余弦,cosφ=|s₁·s₂|/(|s₁||s₂|),两直线垂直判定,夹角、方向向量,高数下册,45,判直线位置
KP-0029,高等数学,第8章,8.6 空间直线及其方程,直线与平面夹角,线面夹角,直线与投影线夹角,sinψ=|Am+Bn+Cp|/(...),线面垂直判定,线面夹角、垂直,高数下册,46,判线面关系
KP-0030,高等数学,第9章,9.1 多元函数基本概念,平面点集,邻域,以点为中心的圆域,"U(P₀,δ)=√(x−x₀)²+(y−y₀)²<δ","(1,2)邻域半径1",邻域、去心邻域,高数下册,60,多元函数基础
KP-0031,高等数学,第9章,9.1 多元函数基本概念,平面点集,内点、外点、边界点,点与点集关系,无,单位圆内外点示例,内点、边界点、点集,高数下册,61,点集分类
KP-0032,高等数学,第9章,9.1 多元函数基本概念,平面点集,开集、闭集,含不含边界点,无,x²+y²<1为开集,开集、闭集、边界,高数下册,61,点集类型
KP-0033,高等数学,第9章,9.1 多元函数基本概念,多元函数概念,二元函数,平面点集到实数映射,"z=f(x,y)",z=x²+y²,二元函数、定义域,高数下册,63,多元函数基础
KP-0034,高等数学,第9章,9.1 多元函数基本概念,多元函数极限,二重极限,"(x,y)→(x₀,y₀)的极限","lim_{(x,y)→(x₀,y₀)}f(x,y)=A",lim(x²y²)/(x²+y²)=0,二重极限、存在性,高数下册,65,多元极限定义
KP-0035,高等数学,第9章,9.1 多元函数基本概念,多元函数连续性,二元函数连续,极限值=函数值,"lim f = f(x₀,y₀)",z=x²+y²在原点连续,连续、极限、函数值,高数下册,67,连续判定
KP-0036,高等数学,第9章,9.2 偏导数,偏导数定义,对x偏导数,固定y对x求导,f’_x=limΔf/Δx,"z=x²+xy+y²在(1,2)偏导",偏x导数、定义,高数下册,74,偏导定义
KP-0037,高等数学,第9章,9.2 偏导数,偏导数定义,对y偏导数,固定x对y求导,f’_y=limΔf/Δy,同上对y偏导,偏y导数、定义,高数下册,74,偏导定义
KP-0038,高等数学,第9章,9.2 偏导数,偏导数计算,偏导数求法,视另一变量为常数,无,z=x²y，z’_x=2xy,偏导计算、常数化,高数下册,75,基本求法
KP-0039,高等数学,第9章,9.2 偏导数,高阶偏导数,二阶偏导数,偏导再求偏导,∂²z/∂x²等四种,z=x²y³二阶偏导,二阶偏导、混合偏导,高数下册,77,高阶偏导
KP-0040,高等数学,第9章,9.3 全微分,全微分定义,全微分,全增量线性主部,dz=z’_x dx+z’_y dy,z=xy，dz=ydx+xdy,全微分、可微、增量,高数下册,83,多元微分核心
KP-0041,高等数学,第9章,9.3 全微分,可微条件,可微必要条件,可微则偏导存在,无,z=x²+y²可微偏导存在,可微、必要条件,高数下册,84,可微判定
KP-0042,高等数学,第9章,9.3 全微分,可微条件,可微充分条件,偏导连续则可微,无,常见初等函数均可微,可微、充分条件,高数下册,85,常用判定
KP-0043,高等数学,第9章,9.4 多元复合函数求导,一元与多元复合,全导数公式,一元复合链式法则,dz/dt=z’_u u’+z’_v v’,"z=u²v,u=sint,v=cost",全导数、链式法则,高数下册,89,基础链式
KP-0044,高等数学,第9章,9.4 多元复合函数求导,多元与多元复合,偏导链式法则,多元复合链式,z’_x=z’_u u’_x+z’_v v’_x,z=e^u sinv复合,链式、偏导、复合,高数下册,90,常用链式
KP-0045,高等数学,第9章,9.5 隐函数求导,一个方程情形,一元隐函数求导,"F(x,y)=0确定y=y(x)",dy/dx=−F’_x/F’_y,x²+y²=R²求导,隐函数、求导公式,高数下册,96,一元隐函数
KP-0046,高等数学,第9章,9.5 隐函数求导,一个方程情形,二元隐函数求导,"F(x,y,z)=0确定z=z(x,y)",∂z/∂x=−F’_x/F’_z,x²+y²+z²=R²求偏导,二元隐函数、偏导,高数下册,97,二元隐函数
KP-0047,高等数学,第9章,9.6 微分学几何应用,空间曲线切线,切线与法平面,参数方程导数为方向向量,(x−x₀)/x’=(y−y₀)/y’=(z−z₀)/z’,螺旋线t=0处切线,切线、法平面、方向,高数下册,102,曲线几何
KP-0048,高等数学,第9章,9.6 微分学几何应用,曲面切平面,切平面与法线,梯度为法向量,F’_x(x−x₀)+F’_y(y−y₀)+F’_z(z−z₀)=0,"球面在(0,0,1)切面",切平面、法线、法向量,高数下册,105,曲面几何
KP-0049,高等数学,第9章,9.7 方向导数与梯度,方向导数,方向导数定义,沿方向l的变化率,∂f/∂l=limΔf/ρ,"z=x²+y²在(1,1)方向导",方向导数、变化率,高数下册,110,方向变化率
KP-0050,高等数学,第9章,9.7 方向导数与梯度,方向导数,方向导数计算,可微时用偏导计算,∂f/∂l=f’_x cosα+f’_y cosβ,z=xy方向导计算,方向导、偏导、余弦,高数下册,111,计算方法
KP-0051,高等数学,第9章,9.7 方向导数与梯度,梯度,梯度定义,偏导构成的向量,"grad f=(f’_x,f’_y)","z=x²+y²在(1,2)梯度",梯度、最大变化率,高数下册,112,变化率最大方向
KP-0052,高等数学,第9章,9.8 多元函数极值,多元函数极值,极值定义,邻域内最大/小值,无,z=x²+y²极小值0,极值、极大、极小,高数下册,116,极值概念
KP-0053,高等数学,第9章,9.8 多元函数极值,多元函数极值,极值必要条件,极值点偏导为0,"f’_x=0,f’_y=0","z=x²+y²驻点(0,0)",驻点、必要条件,高数下册,117,极值点必要条件
KP-0054,高等数学,第9章,9.8 多元函数极值,多元函数极值,极值充分条件,AC−B²判别式,Δ=B²−AC判极值,z=x³+y³−3xy极值,判别式、充分条件,高数下册,118,极值判定
KP-0055,高等数学,第9章,9.8 多元函数极值,条件极值,拉格朗日乘数法,构造L=f+λφ,"L(x,y,λ)=f+λφ",z=xy在x+y=1下极值,条件极值、拉格朗日,高数下册,122,条件极值解法
KP-0056,高等数学,第10章,10.1 二重积分概念性质,二重积分概念,二重积分定义,平面区域黎曼和极限,∬_D f dσ=limΣfΔσ_i,∬1dσ=区域面积,二重积分、黎曼和,高数下册,136,重积分基础
KP-0057,高等数学,第10章,10.1 二重积分概念性质,二重积分性质,线性性质,积分线性运算,∬(k1f+k2g)=k1∬f+k2∬g,∬(2x+3y)拆分,线性、可加性,高数下册,138,积分基本性质
KP-0058,高等数学,第10章,10.1 二重积分概念性质,二重积分性质,区域可加性,分区域积分相加,∬_D=∬_D1+∬_D2,D分两块积分和,区域可加、积分拆分,高数下册,138,积分基本性质
KP-0059,高等数学,第10章,10.2 二重积分计算,直角坐标计算,X型区域,先y后x累次积分,∫_a^b dx∫_{φ1}^{φ2}f dy,"0≤x≤1,0≤y≤x积分",X型、先y后x,高数下册,142,直角坐标计算
KP-0060,高等数学,第10章,10.2 二重积分计算,直角坐标计算,Y型区域,先x后y累次积分,∫_c^d dy∫_{ψ1}^{ψ2}f dx,"0≤y≤1,y≤x≤1积分",Y型、先x后y,高数下册,143,直角坐标计算
KP-0061,高等数学,第10章,10.3 二重积分计算,极坐标计算,极坐标变换,"x=rcosθ,y=rsinθ,dσ=rdrdθ","∬f(x,y)dσ=∬f(...)rdrdθ",单位圆面积计算,极坐标、圆域、面积元,高数下册,148,极坐标适用
KP-0062,高等数学,第10章,10.4 三重积分概念计算,三重积分概念,三重积分定义,空间区域黎曼和极限,∭f dV=limΣfΔV_i,∭1dV=体积,三重积分、黎曼和,高数下册,156,三重积分基础
